key,en,fr,es,de,ru,nl,ja,zh,pt-BR
GentlehandSpeech_01_caption_06,All I have left is my stewardship of the aliens here. The endless fight against Planck.,Tout ce qu'il me reste est ma loyauté envers les aliens qui sont ici. Le combat sans fin contre Planck.,Todo lo que me queda es la administración de estos extraterrestres. La lucha sin fin contra Planck.,"Alles, was ich verlassen habe, ist mein Umgang mit den Aliens hier. Der endlose Kampf gegen Planck.","Все, что я оставил мое управление инопланетян здесь. Бесконечная борьба с Планком.",Alles wat ik heb achtergelaten is mijn rentmeesterschap van de vreemdelingen hier. De eindeloze strijd tegen Planck.,私に残されたのは、ここに生きるエイリアンの管理。そして終わりなきプランクとの闘争。,我只剩下我对外星人的管理。对普朗克的无休止的战斗。,Tudo o que resta é a minha administração dos estrangeiros aqui. A luta sem fim contra Planck.
GentlehandSpeech_01_caption_07,The looming threat of annihilation if just one plucky creature like you wanders out into the daylight.,La menace constante d'une annihilation dû à une créature comme toi qui sortirait voir les rayons du soleil.,La inminente amenaza de aniquilación si una criatura valiente como tú deambula hacia la luz del día.,"Die drohende Gefahr der Vernichtung, wenn nur eine beherzte Kreatur wie Sie wandert ins Tageslicht.","Нависла угроза уничтожения, если только один отважное существо, как вы блуждает на свет божий.",Het dreigende gevaar van vernietiging als er maar een dappere schepsel alsof je wandelt naar buiten in het daglicht.,あなたのように勇敢な存在がひとたび日の下に出てしまえば、破滅の脅威が迫りくるでしょう。,如果只有一个像你这样勇敢的人在光天化日之下游荡，毁灭的威胁就迫在眉睫。,A ameaça de aniquilação se apenas uma criatura destemida como você vagueia fora na luz do dia.
GentlehandSpeech_01_caption_08,"Don’t let your story end, as mine has. It’s a long way down, and there is a deep, dark Void up above.","Ne laisse pas ton histoire s'arrêter ici comme la mienne s'est arêté. c'est une longue descente, et il y à un vide, profond et noir au dessus.","No dejes que tu historia termine, como la mía terminó. Es una caída larga, y arriba hay un vacío profundo y oscuro.","Sie nicht Ihre Geschichte Ende lassen, wie ich hat. Es ist ein langer Weg nach unten, und es gibt eine tiefe, dunkle Void bis oben.","Не позволяйте своему концу рассказа, как и у меня есть. Это долгий путь вниз, и есть глубокая, темная пустота наверху.","Laat uw verhaal eind, als de mijne heeft. Het is een lange weg naar beneden, en er is een diepe, donkere Void boven.",物語を閉じてしまった私と同じ轍を踏んではなりません。下に待つのは険しい道のり。上には昏く深い虚無が広がっています。,不要让你的故事结束。往下走还有很长一段路，通往深邃黑暗的虚空。,"Não deixe que o seu fim da história, como o meu tem. É um longo caminho, e há um profundo, até Dark Void acima."
grenadeincoming_down_caption_00,Everyone down!,Tout le monde à couvert!,¡Todos abajo!,Jeder down!,Все вниз!,Iedereen naar beneden!,伏せろ！,所有人趴下。,Todos para baixo!
grenadeincoming_grenade_caption_00,Grenade!,Grenade!,¡Granada!,Granate!,Граната!,Granaat!,グレネード！,手雷！,Grenade!
grenadeincoming_incoming_caption_00,Incoming,Ça arrive,Entrando,Eingehend,вступающий,inkomend,来るぞ。,来了,Entrada
grenadeincoming_watchout_caption_00,Watch out!,Fais gaffe!,¡Cuidado!,Achtung!,Осторожно!,Kijk uit!,気をつけろ！,小心！,Cuidado!
grenadethrow_deploying_caption_00,Deploying grenade.,J'arme une grenade.,Lanzando granada.,Bereitstellen Granate.,Развертывание гранаты.,Het inzetten van granaat.,グレネード、いくぞ。,部署手雷。,Implantando granada.
grenadethrow_frag_caption_00,Deploying frag grenade,J'arme une grande à fragmentation,Lanzando granada de fragmentación.,Bereitstellen der Splittergranate,Развертывание осколочной,Implementeren frag grenade,フラググレネードだ。,部署榴弹,Implantando frag granada
grenadethrow_out_caption_00,Grenade out.,Grenade Lancée.,Granada arrojada.,Granate.,Граната.,Grenade out.,グレネードがいったぞ。,扔出手雷了。,Granada para fora.
grenadethrow_throwing_caption_00,Throwing grenade.,Je lance une grenade.,Lanzando granada.,Wurfgranate.,Метание гранаты.,Gooien granaat.,グレネードを投げる。,扔手雷。,Jogando granada.
hard,Hard,Dur,Difícil,Schwer,Жесткий,Moeilijk,Hard,困难,Difícil
health_corefail_caption_00,Core failing!,Mon cœur tombe!,¡El núcleo está fallando!,Kern Versagen!,Основной недостаток!,Core falen!,コアが損傷！,核心失灵！,falha do núcleo!
health_envsensors_caption_00,Environmental sensors failing.,Capteurs environnementaux sont défaillants.,Los sensores ambientales están fallando.,Umweltsensoren versagt.,Датчики окружающей среды не удается.,Milieusensoren falen.,環境センサーに異常！,环境传感器失灵。,sensores ambientais falhar.
health_integrity_caption_00,Integrity low.,Intégrité faible.,Integridad baja.,Integrität gering.,Целостность низкий.,Integriteit laag.,機能が低下中。,完整性低下。,baixa integridade.
health_overheating_caption_00,Systems overheating.,Systèmes en surchauffe.,Los sistemas se están sobrecalentando.,Systeme Überhitzung.,Системы перегрева.,Systemen oververhitting.,システムがオーバーヒートしている。,系统过热。,Sistemas de superaquecimento.
health_sensorsfail_caption_00,Sensors failing.,Capteurs défaillants,Los sensores están fallando.,Sensoren versagen.,Датчики не удается.,Sensoren niet.,センサーに異常発生。,传感器失灵。,Sensores falhando.
health_structure_caption_00,Structural integrity low.,Intégrité structurelle faible.,Integridad estructural baja.,Strukturelle Integrität gering.,Структурно низкая целостность.,Structurele integriteit laag.,構造の安定性が低下している。,结构完整性低。,baixa integridade estrutural.
health_urgentsupport_caption_00,Urgent support required!,Soutien urgent exigé!,¡Se requiere soporte urgente!,Dringend Unterstützung erforderlich!,Срочная поддержка требуется!,Dringend ondersteuning die nodig is!,緊急支援が必要だ！,需要紧急支持！,apoio urgente necessário!
heard_code1_caption_00,Code 1. Checking it out.,Code 1. je vais vérifiér.,Código 1. Comprobando.,Code 1. Überprüfen Sie es heraus.,Код 1. Проверка его.,Code 1. Checking it out.,コード1。確認する。,代号1。正在检查。,Código 1. Verificando-lo.
heard_comeon_caption_00,Code 1. Come on.,Code 1. Allez y.,Código 1. Vamos.,Komm Code 1..,Код 1. Давай.,Code 1. Kom op.,コード1。いくぞ。,代号1。快点。,Código 1. Vamos lá.
heard_happening_caption_00,Something is happening.,Il y à quelque chose.,Algo esta pasando.,Etwas passiert.,Что-то происходит.,Er gebeurt iets.,気をつけろ。,出事了。,Algo está acontecendo.
heard_movement_caption_00,Movement detected. Checking it out.,Mouvement détecté. Je vais voir ce que c'est.,Movimiento detectado. Comprobándolo.,Eine Bewegung erkannt. Überprüfen Sie es heraus.,Движение обнаружено. Проверка его.,Beweging gedetecteerd. Het controleren van het uit.,動体を検出。確認する。,检测到移动。正在检查。,Movimento detectado. Check-out.
heard_noise_caption_00,Noise detected. Sweeping area.,Bruit détecté. Je balaye la zone.,Ruido detectado. Limpiando área.,Rauschen detektiert. Kehrbereich.,Шум обнаружено. Подметальная область.,Ruis gedetecteerd. Vegen gebied.,ノイズを検出。エリアをクリアリングする。,检测到噪音。扫描区域。,Ruído detectado. área de varredura.
heard_sound_caption_00,Sound detected. Performing sweep of area.,Son détecté. Je performe un balayage de la zone.,Sonido detectado. Comenzando limpieza de área.,Sound erkannt. Durchführen von Sweep-Bereich.,Звук обнаружен. Выполнение зачистки области.,Sound gedetecteerd. Het uitvoeren van sweep van het gebied.,音を検出。エリアのクリアリングを行なう。,检测到声音。执行区域扫描。,Som detectado. Realizando varredura da área.
heard_standby_caption_00,I just heard something. Standby.,Je viens d'entendre quelque chose. Stand-by.,Escuché algo. Quieto.,Ich gerade etwas gehört. Bereithalten.,Я только что услышал что-то. Ожидание.,Ik hoorde iets. Standby.,何か聞こえたぞ。気をつけろ。,我刚听到一些声音。待命。,Eu apenas ouvi algo. Espera.
heard_sweep_caption_00,Noise detected. Performing sweep.,Son détecté. Je performe un balayage.,Ruido detectado. Limpiando área.,Rauschen detektiert. Durchführen Sweep.,Шум обнаружено. Выполнение развертки.,Ruis gedetecteerd. Het uitvoeren van sweep.,ノイズを検出。クリアリングするぞ。,检测到噪音。执行扫描。,Ruído detectado. Realizando varredura.
heard_what_caption_00,"What was that? Code 1, let's go.",C'était quoi? Code 1! Alons y.,"¿Qué fue eso? Código 1, vamos.","Was war das? 1 Code, gehen wir.","Что это было? Код 1, пойдем.","Wat was dat? Code 1, laten we gaan.",今のは？ コード1、いくぞ。,那是什么？代号1，我们走。,"O que é que foi isso? Código 1, vamos."
intro_gameby,a game by,un jeu de,un juego por,ein Spiel von,игра по,een spel door,a game by,游戏来自,um jogo por
lastPlayed,last played,Joué dernièrement,última vez jugado,zuletzt gespielt,последний раз играл,laatst gespeeld,前回プレイ,上次游戏时间,jogou pela última vez
left,Left,Gauche,Izquierda,Links,Осталось,Links,左,左,Esquerda
log_brian_lab,"First day in the new lab. Just got moved again, probably to throw off the feds trying to locate me. Inconvenient of course, but not as inconvenient as prison. Good to see Planck is still trying to uphold the deal, too. For now, at least.

Sector 12 now. Not my finest residence, but I am right next door to an old associate of mine, Prahl. So that's nice.

I’m trying to prioritize projects, but it’s clear I’m gonna have to spend way more time developing the Spacetime Manipulator if I want it functional by fall.","Premier jour dans le nouveau labo. J'ai encore été déplacé, probablement pour se débarrasser des fédéraux qui essaient de me trouver. Désagérable bien sûr, mais pas autant que la prison. C'est bon de voir que Planck maintiennent notre accord. En tout cas, pour le moment.

Secteur 12. Pas l'endroit le plus agréable. Mais c'est juste à côté d'un de mes anciens collaborateur, Prahl. Donc ça me va.

J'essaie de mettre d'autres projets en avant, mais il est clair que je devrais passer vachement plus de temps sur le Manipulateur d'espace temps si je veux qu'il soit prêt dès l'automne.","Primer día en el nuevo laboratorio. Me movieron de nuevo, probablemente para engañar a los que tratan de atraparme. Es inconveniente, por supuesto, pero no tanto como la cárcel. Me alegra ver que Planck aún está tratando de mantener su parte del trato. Por ahora, al menos.

Sector 12. No es mi mejor residencia, pero estoy justo al lado de un antiguo socio mío, Prahl. Eso es bueno.

Estoy tratando de priorizar proyectos, pero veo que tendré que dedicar mucho más tiempo a desarrollar el manipulador del espacio-tiempo si quiero que funcione para el otoño.","Erster Tag im neuen Labor. Wir kommen gerade wieder bewegt, wahrscheinlich die FBI-Agenten abzuschütteln versucht, mich zu suchen. Inconvenient natürlich, aber nicht so unbequem wie Gefängnis. Gut Planck zu sehen ist immer noch versuchen, das Geschäft aufrecht zu erhalten, auch. Vorerst zumindest.

Sector 12 jetzt. Nicht meine schönsten Residenz, aber ich bin direkt neben einem alten Mitarbeiter von mir, Prahl. Also das ist schön.

Ich versuche, Projekte zu priorisieren, aber es ist klar, ich werde viel mehr Zeit zu verbringen, habe den Zeit-raum Manipulators zu entwickeln, wenn ich es funktional will bis zum Herbst.","Первый день в новой лаборатории. Просто был перемещен снова, вероятно, скинуть федералы пытаются найти меня. Неудобно, конечно, но не так неудобно, так как тюрьмы. Рад видеть Planck все еще пытается поддержать сделку, тоже. В настоящее время, по крайней мере.

Сектор 12 в настоящее время. Не мой лучший жительства, но я прямо рядом со старым соратником шахты, Пралью. Так что это хорошо.

Я пытаюсь определить приоритеты проектов, но это ясно мне придется тратить намного больше времени на разработку пространственно-временного Манипулятор, если я хочу его функциональным падением.","Eerste dag in het nieuwe lab. Ben net weer verhuisd, waarschijnlijk af te werpen de FBI probeert me te vinden. Inconvenient natuurlijk, maar niet zo lastig als gevangenis. Goed om te zien Planck is nog steeds bezig om de deal te handhaven, ook. Voor nu, op zijn minst.

Sector 12 nu. Niet mijn mooiste woonplaatsen, maar ik ben er naast de deur naar een oud medewerker van mij, Prahl. Dus dat is leuk.

Ik probeer te prioriteren projecten, maar het is duidelijk dat ik ga moeten veel meer tijd besteden aan het ontwikkelen van de Spacetime Manipulator als ik wil het functioneel door de val.","新しいラボでの初日。また移転させられた。恐らく、私を捜している連邦の目を欺くためだろう。不便ではあるが、刑務所よりはマシだ。プランクの連中が取引を維持しようとしているのが幸いか。少なくとも今のところは。

今はセクター12にいる。快適な暮らしとは言えないが、旧い協力者であるプラールの隣なのはいいことだ。

プロジェクトの優先順位を整理しているが、時空マニピュレータを秋までに稼働させるには、更に多くの時間を研究に費やさなければならないことは明らかだ。","新实验室的第一天。又被转移了，可能是为了摆脱联邦调查局的追踪。
当然不方便，但也不至于像监狱。
很高兴看到普朗克仍在努力维护协议。至少目前是这样。
现在是12区。不是我最好的住处，但我就在我的老同事普拉赫尔的隔壁。这很不错。
我正在努力安排项目的优先顺序，但是很明显，如果我想让时空操纵器在秋季投入使用，我必须花更多的时间来开发它。
量子汁！
是什么？我不知道。
普朗克用它来做什么？机密。
为什么它似乎从反应堆壁泄漏出来？
嗯，可能是管道搭得不好。
重要的是，它似乎是不错的能源…对我的时空操纵器的奇异功能来说。
有了足够的量子汁，我可以以任何可以想到的方式扭曲时空…","Primeiro dia no novo laboratório. Apenas got transferida novamente, provavelmente para jogar fora os federais tentando me localizar. Inconveniente é claro, mas não tão inconveniente como prisão. Bom ver Planck ainda está tentando manter o negócio também. Por enquanto, pelo menos.

Sector 12 agora. Não é o meu melhor residência, mas estou bem ao lado de um velho colega minha, Prahl. Então, isso é bom.

Eu estou tentando priorizar projetos, mas é claro que eu vou ter que gastar muito mais tempo desenvolvendo o Spacetime Manipulador se eu quero-lo funcional por queda."
log_brian_qj,"Quantum Juice! 
What is it? I don’t know. 
What does Planck use it for? Classified.
Why does it seem to leak out of all the walls in the reactor? Well, probably cheap plumbing work.

The important thing is that it seems to be a viable power source for some of the more... exotic functions of my Spacetime Manipulator. With enough juice, I could warp local spacetime in any way imaginable...","Le Jus Quantique!
Qu'est-ce que c'est? aucune idée.
Qu'est-ce qu'en fait Planck? Top secret.
Pourquoi est-ce qu'on dirait que ça fuis des murs du réacteur? Eh bien, probablement une plomberie bâclée.

Le truc le plus important c'est qu'on dirait que c'est une source viable d'énergie pour les fonctions les plus ... exotiques de mon Manipulateur d'espace temps. Avec assez de jus quantique, je pourrais altérer l'espace temps local de n'importe quelle façon imaginable...","¡Jugo cuántico!
¿Qué es? No lo sé.
¿Para qué lo usa Planck? Clasificado.
¿Por qué parece escaparse de todas las paredes del reactor? Bueno, probablemente sea culpa de los plomeros..

Lo importante es que parece ser una fuente de energía viable para algunas de las funciones más... exóticas de mi manipulador de espacio-tiempo. Con suficiente jugo, podría deformar el espacio-tiempo de cualquier forma imaginable ...","Quantum Juice!
Was ist es? Ich weiß es nicht.
Was bedeutet Planck es verwenden? Klassifiziert.
Warum scheint es in dem Reaktor alle die Wände austreten? Nun, wahrscheinlich billig Klempnerarbeiten.

Das Wichtigste ist, dass es eine praktikable Energiequelle für einige der mehr ... exotischen Funktionen meines Zeit-raum Manipulator zu sein scheint. Mit genügend Saft, konnte ich lokale Raum-Zeit in irgendeiner Weise vorstellbar verziehen ...","Квантовый сок!
Что это? Я не знаю.
Что Planck использовать? Classified.
Почему это, кажется, утечка из всех стенок в реакторе? Ну, наверное, дешево сантехнические работы.

Важно то, что, как представляется, является жизнеспособным источником энергии для некоторых из более ... экзотических функций моего Spacetime манипулятором. При наличии достаточного количества сока, я мог деформироваться местного пространства-времени в любом лады ...","Quantum Juice!
Wat is het? Ik weet het niet.
Wat betekent Planck gebruiken voor? Geclassificeerd.
Waarom lijkt het uit te lekken van de muren in de reactor? Nou, waarschijnlijk goedkoop loodgieterswerk.

Het belangrijkste is dat het lijkt een levensvatbare voedingsbron voor een aantal van de meer ... exotische functies van mijn ruimtetijd Manipulator zijn. Met genoeg sap, kon ik lokale ruimtetijd krom in elke denkbare manier ...","クォンタムジュース！
その正体は？ 不明だ。
プランクの連中はそれをどう使ってる？ 機密だ。
なぜリアクターのそこかしこから漏れている？ それは、恐らく手抜き工事のためだろう。

重要なのは……時空マニピュレータの、より変わった機能を実行できる電源になりうることだ。十分なジュースがあれば、ちょっとした距離なら思うままにテレポートできるようになる……。","新实验室的第一天。又被转移了，可能是为了摆脱联邦调查局的追踪。
当然不方便，但也不至于像监狱。
很高兴看到普朗克仍在努力维护协议。至少目前是这样。
现在是12区。不是我最好的住处，但我就在我的老同事普拉赫尔的隔壁。这很不错。
我正在努力安排项目的优先顺序，但是很明显，如果我想让时空操纵器在秋季投入使用，我必须花更多的时间来开发它。
量子汁！
是什么？我不知道。
普朗克用它来做什么？机密。
为什么它似乎从反应堆壁泄漏出来？
嗯，可能是管道搭得不好。
重要的是，它似乎是不错的能源…对我的时空操纵器的奇异功能来说。
有了足够的量子汁，我可以以任何可以想到的方式扭曲时空…","Suco Quantum!
O que é isso? Eu não sei.
O que Planck usá-lo? Classificado.
Por que parece a vazar de todas as paredes do reator? Bem, provavelmente barato trabalho de canalização.

O importante é que ele parece ser uma fonte de energia viável para algumas das funções mais ... exóticas da minha Spacetime manipulador. Com bastante suco, eu poderia deformar o espaço-tempo local em qualquer forma imaginável ..."
log_clive_vents,"Damn elevatornot working, shouldv gone with the last PITS run like I was supposed to. Now evac is over and im stuck 
In the vents
rying to get to maintenance but these things are like a maze. Lost one of my shoes to an air recycler. Feel like I’m dying of thirst. think Imm lost","Merde, l'ascenseur ne marche plus, j'aurais dû suivre les derniers PITS comme j'aurais dû. Maintenant les évacuations sont terminées et je suis bloqué 
dans les circuits d'aération,
J'essaie de me rendre dans le département de maintenance mais c'est un vrai labyrinthe. J'ai perdu une de mes chaussures dans le recycleur d'air. Je sens que je vais mourir de soif, je pense que je me suis perdu
","El maldito ascensor no funciona, debería haber ido con el último PITS como se suponía. Ahora la evacuación ha acabado y estoy atascado
En el respirador
tratando de llegar al mantenimiento, pero esto es como un laberinto. Un reciclador de aire se comió mi zapato. Siento que me muero de sed. Creo que estoy perdido.","Verdammt elevatornot arbeiten, shouldv mit den letzten BAUGRUBEN weg laufen wie ich sollte. Jetzt ist EVAC über und im stuck
In den Lüftungsöffnungen
rocknung zu Wartung zu erhalten, aber diese Dinge sind wie ein Labyrinth. Verloren einen meines Schuhs zu einem Luft Recycler. Fühlen Sie sich wie ich von Durst bin zu sterben. denken Imm verloren","Черт elevatornot работает, shouldv ушел с последними КАРЬЕРАМИ бежать, как я должен был. Теперь EVAC закончилась, и им застрял
В вентиляционных отверстиях
участвовав, чтобы добраться до технического обслуживания, но эти вещи, как лабиринт. Проиграл один из моих ботинок к воздушному переработчику. Почувствуйте, как я умираю от жажды. думают Иммы потеряли","Verdomme elevatornot werken, shouldv gegaan met de laatste PITS lopen als ik moest. Nu EVAC voorbij is en im geplakt
In de ventilatieopeningen
rying om het onderhoud te krijgen, maar deze dingen zijn net een doolhof. Verloor een van mijn schoenen aan een lucht recycler. Het gevoel dat ik ga dood van de dorst. denk Imm verloren","なんてことだ、エレベーターが動かない。最後のP.I.T.S.で逃げておけばよかった。避難は既に終わってしまい、私はダクトに閉じ込められている。

どうにかしてメンテナンスルームへいきたいが、まるでメイロみたいだ。クツを一つなくした。ノドがかわいてしにそう。ここはどこ","该死的电梯坏了，我应该按计划去最后一个PITS。
现在撤离结束了，我被困在了通风口
我想去维护站，但这东西就像迷宫。我的一只鞋丢进了空气净化器。我快渴死了。我迷路了","Droga elevatornot trabalhando, shouldv ido com os últimos POÇOS correr como eu deveria. Agora evac é longo e im preso
Nas aberturas
rying para chegar a manutenção, mas essas coisas são como um labirinto. Perdeu um dos meus sapatos para um reciclador de ar. Sinto que estou morrendo de sede. acho Imm perdido"
log_kat,"God damn Planck and their god damn [quot]experimental sector.[quot] 

[quot]Here, we need you to excavate this much rock and build us a hall here... just kidding, we’ve pushed up evac and it turns out this wasn’t necessary in the first place.[quot] 

God. Thought I’d be contributing to the future by working here, turns out I’m digging play tunnels on the first floor for rich executives.

Time to try to seal this up as best I can, I suppose.
","Putain de Planck et son putain de [quot]secteur expérimental.[quot] 

[quot]Là, On aurait besoin que tu nous sortes toutes ces pierres et que tu nous construises un hall... je rigole, on a déplacé la date d'évacuation et il se trouve que ce n'était pas nécessaire en premier lieu.[quot]

Mon dieu. Je pensais que j'aidais à bâtir l'avenir en bossant ici, mais au final je creuse des tunnels dans le premier étage pour des chefs blindés.

Bon, je pense qu'il est temps pour moi de terminer ce que j'avais à faire.","Maldito Planck y su maldito [quot]sector experimental[quot].

[quot]Necesitamos que excaves esta cantidad de roca y nos construyas una sala aquí... es broma, hemos adelantado la evacuación y resulta que no era necesario[quot].

Dios. Pensé que estaría contribuyendo al futuro trabajando aquí, resulta que estoy cavando túneles en un primer piso para ejecutivos ricos.

Es hora de intentar sellarlo mejor que pueda, supongo.","Gott verdammt Planck und ihre god damn [quot] experimentellen Bereich. [Quot]

[Quot] Hier brauchen wir Sie so viel Rock ausheben und uns eine Halle bauen hier ... nur Scherz, wir haben EVAC nach oben gedrückt wird und es stellt sich heraus, das in erster Linie nicht notwendig war. [Quot]

Gott. Dachte ich durch die Arbeit hier in die Zukunft beitragen würde, stellt sich heraus, dass ich spielen Tunnel auf der ersten Etage für reiche Führungskräfte bin zu graben.

Zeit zu versuchen, diese bis zu versiegeln, so gut ich kann, nehme ich an.
","Черт Планк и их бог проклятый [Quot] экспериментальный сектор. [Quot]

[Quot] Здесь, вы нам нужны, чтобы выкопать это много рока и строить нам зал здесь ... Шутят, мы подтолкнули вверх EVAC и оказывается, что это не было необходимо в первую очередь. [Quot]

Бог. Подумал я бы вклад в будущее, работая здесь, оказывается, я рою игровые туннели на первом этаже для богатых руководителей.

Время, чтобы попытаться запечатать этот план, как лучшее, что я могу, я полагаю.
","God damn Planck en hun god damn [quot] experimentele sector. [Quot]

[Quot] Hier, we hebben u nodig om deze veel rots graven en bouwen we een hal hier ... just kidding, we hebben opgedreven evacuatie en het blijkt dat dit niet nodig was in de eerste plaats. [Quot]

God. Dacht dat ik zou kunnen bijdragen aan de toekomst door hier te werken, blijkt dat ik ben het graven play tunnels op de eerste verdieping voor rijke executives.

Tijd om te proberen om dit op zo goed als ik kan, denk ik af te dichten.
","あのプランクと実験セクター、マジで許せない。

「はい、ここを掘って通路にしてね……あー、ゴメンやっぱ避難するから必要なくなったわ」

ウソでしょ。これでも未来に貢献できると思ってがんばってきたんですけど。結局はお偉いさんのためにお遊びでトンネルを掘ってたようなものじゃん。

お次はここをうまく塞がなきゃいけないってわけ。","该死的普朗克”实验部门。[quot]

[quot]来吧，我们需要你挖掘岩石，并在这里为我们建造一个大厅...开玩笑，我们已经把撤离推迟了，结果证明这其实没有必要。[quot]

天呐。我原以为在这里工作会对未来有所贡献，结果我在一层为富有的高管挖隧道。

我想是时候封上了。","Maldita Planck e sua maldita [quot] setor experimental. [Quot]

[Quot] Aqui, precisamos de você para escavar isto muito de rock e construir-nos um salão aqui ... só brincadeira, temos empurrado para cima de evacuação e verifica-se isso não era necessário, em primeiro lugar. [Quot]

Deus. Pensei que estaria contribuindo para o futuro, trabalhando aqui, é que eu estou cavando túneis de jogo no primeiro andar para executivos ricos.

Tempo para tentar selar isso como melhor que eu posso, eu suponho.
"
